"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.69,8,7.87e-05,0.00638,0.00638
"Purine metabolism",70,7.37,16,0.00168,0.134,0.0492
"Arginine biosynthesis",14,1.47,6,0.00182,0.144,0.0492
"Riboflavin metabolism",4,0.421,3,0.00424,0.331,0.0857
"Cysteine and methionine metabolism",33,3.48,9,0.00529,0.407,0.0857
"Vitamin B6 metabolism",9,0.948,4,0.00978,0.744,0.132
"Citrate cycle (TCA cycle)",20,2.11,6,0.0137,1,0.139
"Pantothenate and CoA biosynthesis",20,2.11,6,0.0137,1,0.139
"beta-Alanine metabolism",21,2.21,6,0.0176,1,0.158
"Pentose phosphate pathway",22,2.32,6,0.0221,1,0.179
"Arginine and proline metabolism",35,3.69,8,0.025,1,0.184
"Biosynthesis of unsaturated fatty acids",36,3.79,8,0.0293,1,0.198
"Glycolysis / Gluconeogenesis",24,2.53,6,0.0334,1,0.208
"Glycine, serine and threonine metabolism",32,3.37,7,0.0439,1,0.245
"Pyrimidine metabolism",39,4.11,8,0.0454,1,0.245
"D-Amino acid metabolism",14,1.47,4,0.0511,1,0.259
"Nicotinate and nicotinamide metabolism",15,1.58,4,0.0642,1,0.281
"Alanine, aspartate and glutamate metabolism",28,2.95,6,0.0659,1,0.281
"Glutathione metabolism",28,2.95,6,0.0659,1,0.281
"Biotin metabolism",10,1.05,3,0.079,1,0.32
"Tryptophan metabolism",40,4.21,7,0.119,1,0.459
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.632,2,0.125,1,0.459
"Lysine degradation",29,3.05,5,0.183,1,0.644
"Valine, leucine and isoleucine biosynthesis",8,0.843,2,0.203,1,0.657
"Taurine and hypotaurine metabolism",8,0.843,2,0.203,1,0.657
"Drug metabolism - other enzymes",39,4.11,6,0.221,1,0.69
"Glyoxylate and dicarboxylate metabolism",32,3.37,5,0.242,1,0.726
"Sphingolipid metabolism",33,3.48,5,0.263,1,0.76
"One carbon pool by folate",26,2.74,4,0.29,1,0.81
"Ascorbate and aldarate metabolism",11,1.16,2,0.325,1,0.855
"Glycerophospholipid metabolism",36,3.79,5,0.327,1,0.855
"Selenocompound metabolism",20,2.11,3,0.354,1,0.883
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.421,1,0.36,1,0.883
"Pyruvate metabolism",22,2.32,3,0.414,1,0.985
"Metabolism of xenobiotics by cytochrome P450",68,7.16,8,0.427,1,0.988
"Butanoate metabolism",15,1.58,2,0.48,1,1
"Nitrogen metabolism",6,0.632,1,0.488,1,1
"Arachidonic acid metabolism",44,4.63,5,0.501,1,1
"Glycerolipid metabolism",16,1.69,2,0.515,1,1
"Folate biosynthesis",26,2.74,3,0.527,1,1
"Lipoic acid metabolism",28,2.95,3,0.579,1,1
"Terpenoid backbone biosynthesis",18,1.9,2,0.581,1,1
"Phenylalanine metabolism",8,0.843,1,0.59,1,1
"Ether lipid metabolism",20,2.11,2,0.64,1,1
"Fructose and mannose metabolism",21,2.21,2,0.667,1,1
"Caffeine metabolism",10,1.05,1,0.673,1,1
"Tyrosine metabolism",42,4.42,3,0.837,1,1
"Drug metabolism - cytochrome P450",55,5.79,4,0.849,1,1
"Retinol metabolism",17,1.79,1,0.851,1,1
"Starch and sucrose metabolism",18,1.9,1,0.867,1,1
"Inositol phosphate metabolism",32,3.37,2,0.867,1,1
"Primary bile acid biosynthesis",46,4.85,3,0.88,1,1
"Pentose and glucuronate interconversions",19,2,1,0.881,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.11,1,0.894,1,1
"Propanoate metabolism",22,2.32,1,0.915,1,1
"Biosynthesis of various nucleotide sugars",24,2.53,1,0.932,1,1
"Valine, leucine and isoleucine degradation",40,4.21,2,0.936,1,1
"Galactose metabolism",26,2.74,1,0.946,1,1
"Fatty acid biosynthesis",47,4.95,2,0.967,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.27,1,0.969,1,1
"Porphyrin metabolism",31,3.27,1,0.969,1,1
"Steroid hormone biosynthesis",86,9.06,4,0.986,1,1
"Fatty acid elongation",38,4,1,0.986,1,1
"Fatty acid degradation",39,4.11,1,0.988,1,1
"Steroid biosynthesis",41,4.32,1,0.99,1,1
"Glycosphingolipid biosynthesis - lacto and neolacto series",53,5.58,1,0.998,1,1
