"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.62,8,5.94e-05,0.00481,0.00481
"Pyrimidine metabolism",39,3.95,12,0.000266,0.0213,0.00958
"Purine metabolism",70,7.1,17,0.000355,0.028,0.00958
"Arginine biosynthesis",14,1.42,6,0.00149,0.116,0.0301
"Riboflavin metabolism",4,0.406,3,0.00379,0.292,0.0614
"Citrate cycle (TCA cycle)",20,2.03,6,0.0114,0.87,0.155
"beta-Alanine metabolism",21,2.13,6,0.0147,1,0.17
"Biosynthesis of unsaturated fatty acids",36,3.65,8,0.0238,1,0.241
"Glycolysis / Gluconeogenesis",24,2.43,6,0.0283,1,0.254
"Taurine and hypotaurine metabolism",8,0.811,3,0.039,1,0.314
"Cysteine and methionine metabolism",33,3.35,7,0.0426,1,0.314
"Alanine, aspartate and glutamate metabolism",28,2.84,6,0.0564,1,0.327
"Glutathione metabolism",28,2.84,6,0.0564,1,0.327
"Arginine and proline metabolism",35,3.55,7,0.0565,1,0.327
"Glycine, serine and threonine metabolism",32,3.24,6,0.0971,1,0.524
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.608,2,0.117,1,0.591
"Pantothenate and CoA biosynthesis",20,2.03,4,0.137,1,0.651
"D-Amino acid metabolism",14,1.42,3,0.162,1,0.731
"Drug metabolism - other enzymes",39,3.95,6,0.196,1,0.837
"Vitamin B6 metabolism",9,0.912,2,0.23,1,0.916
"Sphingolipid metabolism",33,3.35,5,0.237,1,0.916
"Biotin metabolism",10,1.01,2,0.269,1,0.991
"Glycerophospholipid metabolism",36,3.65,5,0.298,1,1
"Selenocompound metabolism",20,2.03,3,0.331,1,1
"Lysine degradation",29,2.94,4,0.338,1,1
"Fructose and mannose metabolism",21,2.13,3,0.36,1,1
"Porphyrin metabolism",31,3.14,4,0.386,1,1
"Pentose phosphate pathway",22,2.23,3,0.389,1,1
"Pyruvate metabolism",22,2.23,3,0.389,1,1
"Glyoxylate and dicarboxylate metabolism",32,3.24,4,0.41,1,1
"Butanoate metabolism",15,1.52,2,0.459,1,1
"Nicotinate and nicotinamide metabolism",15,1.52,2,0.459,1,1
"Arachidonic acid metabolism",44,4.46,5,0.466,1,1
"Phosphonate and phosphinate metabolism",6,0.608,1,0.474,1,1
"Nitrogen metabolism",6,0.608,1,0.474,1,1
"Glycerolipid metabolism",16,1.62,2,0.494,1,1
"Primary bile acid biosynthesis",46,4.66,5,0.507,1,1
"Lipoic acid metabolism",28,2.84,3,0.552,1,1
"Starch and sucrose metabolism",18,1.82,2,0.559,1,1
"Valine, leucine and isoleucine biosynthesis",8,0.811,1,0.576,1,1
"Sulfur metabolism",8,0.811,1,0.576,1,1
"Tryptophan metabolism",40,4.06,4,0.591,1,1
"Ether lipid metabolism",20,2.03,2,0.618,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.14,3,0.624,1,1
"Tyrosine metabolism",42,4.26,4,0.631,1,1
"Caffeine metabolism",10,1.01,1,0.658,1,1
"Ascorbate and aldarate metabolism",11,1.12,1,0.693,1,1
"Metabolism of xenobiotics by cytochrome P450",68,6.89,6,0.705,1,1
"Folate biosynthesis",26,2.64,2,0.758,1,1
"Inositol phosphate metabolism",32,3.24,2,0.852,1,1
"Terpenoid backbone biosynthesis",18,1.82,1,0.856,1,1
"Glycosphingolipid biosynthesis - globo and isoglobo series",18,1.82,1,0.856,1,1
"Pentose and glucuronate interconversions",19,1.93,1,0.87,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.03,1,0.884,1,1
"Propanoate metabolism",22,2.23,1,0.906,1,1
"Biosynthesis of various nucleotide sugars",24,2.43,1,0.925,1,1
"Drug metabolism - cytochrome P450",55,5.58,3,0.931,1,1
"Steroid biosynthesis",41,4.16,2,0.932,1,1
"Galactose metabolism",26,2.64,1,0.939,1,1
"One carbon pool by folate",26,2.64,1,0.939,1,1
"Fatty acid biosynthesis",47,4.76,2,0.961,1,1
"Steroid hormone biosynthesis",86,8.72,4,0.982,1,1
"Fatty acid elongation",38,3.85,1,0.984,1,1
"Fatty acid degradation",39,3.95,1,0.985,1,1
"Valine, leucine and isoleucine degradation",40,4.06,1,0.987,1,1
