"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"被膜 Capsule","2-Hexenoylcholine","C11H22NO2","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","HMDB0013162",62.6796058075679,70.4094621830911,0.0197123991529184,2.23549232420958e-05,0.316545713108076
"被膜 Capsule","Pyroglutamic acid","C5H7NO3","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0000267",99.9924772436621,99.8585622856335,-0.0215035307789493,2.35820004409096e-05,0.33392112624328
"被膜 Capsule","Flutroline","C27H25F3N2O","Organoheterocyclic compounds","Pyrroles","Substituted pyrroles","HMDB0252421",77.7702550214399,86.128496163502,-0.0326768362896381,2.52697650488649e-05,0.357819873091926
"被膜 Capsule","Monoiodothyronine","C15H14INO4","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0000793",70.8417964342135,74.3697181853541,-0.0365808118241234,2.83335565795681e-05,0.401203161166684
"被膜 Capsule","Ser-Leu-Ile-Gly-Lys-Val","C28H53N7O8","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0250013",54.156322876702,60.8588805204908,-0.0215485774238591,3.08060203644653e-05,0.436213248360828
"被膜 Capsule","N-Linoleoyl Methionine","C23H41NO3S","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0241981",60.1369141653502,71.0247162405855,-0.0131693362413158,4.93793968094305e-05,0.699212258821536
"被膜 Capsule","Phenylcyclohexyldiethylamine","C16H25N","Organic nitrogen compounds","Organonitrogen compounds","Amines","HMDB0256438",70.02181599338,76.4311728722464,0.0126168487484852,5.57554733041757e-05,0.789497501987127
"被膜 Capsule","Sulfoacetic acid","C2H4O5S","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives","HMDB0258590",71.7746182201159,62.5967964357696,-0.10541065188631,6.91094688084752e-05,0.978590078328009
"被膜 Capsule","Dexamethasone 21-sulfate","C22H29FO8S","Lipids and lipid-like molecules","Steroids and steroid derivatives","Sulfated steroids","HMDB0251078",51.7866546302565,54.5878858597645,0.0121733789388302,7.02696894220165e-05,0.995018802215754
"被膜 Capsule","Pentafluorobenzenesulfonyl chloride","C6ClF5O2S","Benzenoids","Benzene and substituted derivatives","Benzenesulfonyl compounds","HMDB0256259",43.8426239374107,48.5537993706022,-0.0107168631448799,7.05490183767085e-05,0.998974100214193
"被膜 Capsule","(+)-Isofebrifugine","C16H19N3O3","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines","HMDB0242253",75.1297675468292,81.2736466178707,0.000978665972616199,0.0315085211415246,1
"被膜 Capsule","(1-Methyl-2,3-dihydropyridin-6-ylidene)hydrazine","C6H11N3","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","HMDB0242286",71.9626871285639,79.2263357024151,-0.0063121190522164,0.533688591638549,1
"被膜 Capsule","(2R,3R)-3-[[(2S)-1-[4-(Diaminomethylideneamino)butylamino]-4-methyl-1-oxopentan-2-yl]carbamoyl]oxirane-2-carboxylic acid","C15H27N5O5","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0251665",91.5143308508237,94.8357554541919,0.0160572679885613,0.429875211624644,1
"被膜 Capsule","(2R)-2-[[(2R)-2-amino-3-(1-methoxycarbonylindol-3-yl)propanoyl]-[(2S)-2-[[(2R,6S)-2,6-dimethylpiperidine-1-carbonyl]amino]-4,4-dimethylpentanoyl]amino]hexanoic acid","C34H51N5O7","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0260055",46.7539306401866,51.8192426010396,-0.0117188496458524,0.00586741013365996,1
"被膜 Capsule","(2S)-(+)-5-(1,3,5-Trimethylpyrazol-4-YL)-2-(dimethylamino)tetralin","C18H25N3","Benzenoids","Tetralins",NA,"HMDB0248631",68.8407432483262,76.9827799582759,-0.00431924066508405,0.536555106704205,1
"被膜 Capsule","(5Z,8Z,13E,15S)-11,12,15-Trihydroxyicosa-5,8,13-trienoylcarnitine","C27H47NO7","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241583",61.51357857519,69.2850323538772,0.00266413040338054,0.52748440276995,1
"被膜 Capsule","(7E,10E,13E,16E)-3-Hydroxydocosa-7,10,13,16-tetraenoylcarnitine","C29H49NO5","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241607",56.1799443316031,62.6887309501079,0.0145343737246879,0.00160750906032644,1
"被膜 Capsule","(Z)-7-[(1S,4R,6R)-4-[(E)-Oct-6-enyl]-2,3-diazabicyclo[2.2.1]hept-2-en-6-yl]hept-5-enoic acid","C20H32N2O2","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","HMDB0247875",86.850221921312,92.2226936812701,0.00617302854717916,0.0131503553904025,1
"被膜 Capsule","1-(3,4-Dichlorophenyl)urea","C7H6Cl2N2O","Benzenoids","Benzene and substituted derivatives","Halobenzenes","HMDB0243790",65.5532987286542,70.4837169831335,-0.00242098831474258,0.0564720668192233,1
"被膜 Capsule","1-Acetyl-3,27-dihydroxywitha-5,24-dienolide 3-glucoside","C36H54O11","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones","HMDB0033729",27.66117505454,28.9929634737103,-0.00081504701438162,0.324599316502281,1
"被膜 Capsule","1-alkyl-2-acylglycerophosphoethanolamine","C6H14NO7P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","HMDB0062185",96.8028285563831,99.285739542449,-0.0127846955283855,0.0666259608228311,1
