"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"胆管间隙 Bile Duct Gap","PE(18:3(9Z,12Z,15Z)/16:1(9Z))","C39H70NO8P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","HMDB0009155",49.1298527443106,51.53055383455,-0.046700971953858,0.00144617788169838,1
"胆管间隙 Bile Duct Gap","PE(18:4(6Z,9Z,12Z,15Z)/5-iso PGF2VI)","C41H68NO11P",NA,NA,NA,"HMDB0261758",46.0508701472557,46.5388707809175,-0.0303672051783753,0.112396165061433,1
"胆管间隙 Bile Duct Gap","PE(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C47H82NO8P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","HMDB0009243",74.9665327978581,71.9627993427255,0.00287710663854612,0.905964067779623,1
"胆管间隙 Bile Duct Gap","PE(20:0/LTE4)","C48H87N2O11PS",NA,NA,NA,"HMDB0261852",82.4631860776439,79.6214610888129,-0.0631062268952303,0.0469278007541252,1
"胆管间隙 Bile Duct Gap","PE(20:0/PGJ2)","C45H80NO10P",NA,NA,NA,"HMDB0261850",40.2945113788487,38.0882471782992,0.0147721534796527,0.439627362549899,1
"胆管间隙 Bile Duct Gap","PE(20:3(5Z,8Z,11Z)/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))","C47H76NO9P",NA,NA,NA,"HMDB0262206",59.4377510040161,55.1122282681895,0.0318673000996462,0.141302748390469,1
"胆管间隙 Bile Duct Gap","PE(20:4(5Z,8Z,11Z,14Z)/22:6(5Z,8E,10Z,13Z,15E,19Z)-2OH(7S, 17S))","C47H74NO10P",NA,NA,NA,"HMDB0262406",51.1378848728246,51.3079829216389,0.0119005434133975,0.324543439579226,1
"胆管间隙 Bile Duct Gap","PE(20:4(5Z,8Z,11Z,14Z)/24:1(15Z))","C49H88NO8P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","HMDB0009410",41.0977242302544,36.7817794898042,0.0562874266520599,0.00903022764767985,1
"胆管间隙 Bile Duct Gap","PE(20:4(5Z,8Z,11Z,14Z)/LTE4)","C48H79N2O11PS",NA,NA,NA,"HMDB0262372",89.5582329317269,88.2892681087197,-0.00806332513506935,0.344237980163481,1
"胆管间隙 Bile Duct Gap","PE(22:0/20:4(6Z,8E,10E,14Z)-2OH(5S,12R))","C47H86NO10P",NA,NA,NA,"HMDB0283750",62.7844712182062,64.2778735554777,-0.029784513853307,0.0117556790896692,1
