"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"粘膜下（Submucosa）","(2E,4E,6E,8E)-3,7-Dimethyl-9-(2-nonoxyphenyl)nona-2,4,6,8-tetraenoic acid","C26H36O3","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","HMDB0242652",99.2732422712111,98.0622936701593,0.318957707595313,0,0
"粘膜下（Submucosa）","(2E)-3-[3-(sulfooxy)phenyl]prop-2-enoic acid","C9H8O6S","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","HMDB0124975",68.8556360993608,82.2569255059567,-0.240909841992722,0,0
"粘膜下（Submucosa）","(2R,3R,4E)-2,3-Dihydroxy-5-(methylsulfanyl)pent-4-enoylcarnitine","C13H23NO6S","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241865",100,99.9988517295823,0.0609807846196029,0,0
"粘膜下（Submucosa）","(2R,3R)-2-Benzhydryl-N-[(2-methoxyphenyl)methyl]-1-azabicyclo[2.2.2]octan-3-amine","C28H32N2O","Benzenoids","Benzene and substituted derivatives","Diphenylmethanes","HMDB0242571",94.8866071594954,95.038897660399,0.0445430122694047,0,0
"粘膜下（Submucosa）","(2R,3S)-2-Octyl-3-pentyloxane","C18H36O","Organoheterocyclic compounds","Oxanes",NA,"HMDB0242702",98.3582729254794,93.2343906990096,0.169394153464109,0,0
"粘膜下（Submucosa）","(2S,3R)-3-Butan-2-yl-N-hydroxy-N'-[(2S)-1-(methylamino)-1-oxo-3-phenylpropan-2-yl]-2-prop-2-enylbutanediamide","C21H31N3O4","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0248899",83.0236848480331,82.1989378498636,0.061314052638192,0,0
"粘膜下（Submucosa）","(2S,3R)-3-Methyloxiran-2-ylphosphonic acid","C3H7O4P","Organic acids and derivatives","Organic phosphonic acids and derivatives","Organic phosphonic acids","HMDB0242559",100,100,0.0413779855752083,0,0
"粘膜下（Submucosa）","(2s)-1-[1-(4-Phenylbutanoyl)-L-Prolyl]pyrrolidine-2-Carbonitrile","C20H25N3O2","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0249919",91.9162178782401,89.3371609013923,0.116858478984631,0,0
"粘膜下（Submucosa）","(2S)-2-Cyclopentyl-2-[4-[(2,4-dimethylpyrido[2,3-b]indol-9-yl)methyl]phenyl]-N-[(1S)-2-hydroxy-1-phenylethyl]acetamide","C35H37N3O2","Organoheterocyclic compounds","Indoles and derivatives","Pyridoindoles","HMDB0258043",92.9970370646442,92.1601837232668,0.149566384690192,0,0
"粘膜下（Submucosa）","(2S)-2-Hexylsulfanyl-N-[6-methyl-2,4-bis(methylsulfanyl)pyridin-3-yl]decanamide","C24H42N2OS3","Organic nitrogen compounds","Organonitrogen compounds","N-arylamides","HMDB0249954",77.3512476007678,65.9675613607004,0.241300775948405,0,0
"粘膜下（Submucosa）","(2S)-4,5,7-Trihydroxy-2-(3,4,5-trihydroxyphenyl)-4H-chromen-3-one","C15H12O8","Phenylpropanoids and polyketides","Flavonoids","Hydroxyflavonoids","HMDB0255326",86.3145929224978,82.8356537964691,0.0561484666591456,0,0
"粘膜下（Submucosa）","(3-Aminopropyl)bis(2-aminoethyl)amine","C7H20N4","Organic nitrogen compounds","Organonitrogen compounds","Amines","HMDB0244525",85.2673164004994,90.0175111238697,-0.0403925175985148,0,0
"粘膜下（Submucosa）","(3R,4S)-2-[6-(Cyclohexylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol","C16H23N5O4","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"HMDB0243620",90.0955965935561,86.7971867374767,0.0759201202009385,0,0
"粘膜下（Submucosa）","(4Bs,8aR,10aS)-10a-ethynyl-4b,8,8-trimethyl-3,7-dioxo-3,4b,7,8,8a,9,10,10a-octahydrophenanthrene-2,6-dicarbonitrile","C21H18N2O2","Benzenoids","Phenanthrenes and derivatives","Hydrophenanthrenes","HMDB0249943",96.187317145892,93.4083536672887,0.149666127833122,0,0
"粘膜下（Submucosa）","(4R)-4-[[3-(2-Dimethylaminoethyl)-1H-indol-5-yl]methyl]oxazolidin-2-one","C16H21N3O2","Organoheterocyclic compounds","Indoles and derivatives","Tryptamines and derivatives","HMDB0244569",97.6128803831318,96.0522463040046,0.10478736977843,0,0
"粘膜下（Submucosa）","(5alpha,17beta)-17-Benzoyl-4-azaandrost-1-en-3-one","C25H31NO2","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","HMDB0253725",93.3361906714123,85.4789722979762,0.134729716111186,0,0
"粘膜下（Submucosa）","(5Z,8Z,13E,15S)-11,12,15-Trihydroxyicosa-5,8,13-trienoylcarnitine","C27H47NO7","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241583",91.2136854070775,89.2125735610736,0.120346314740786,0,0
"粘膜下（Submucosa）","(6E,8E)-4,6,8-Megastigmatriene","C13H20","Hydrocarbons","Unsaturated hydrocarbons","Branched unsaturated hydrocarbons","HMDB0035180",78.7786743193634,74.5617913018516,0.0285966827498697,0,0
"粘膜下（Submucosa）","(7E,10E,13E,16E)-3-Hydroxydocosa-7,10,13,16-tetraenoylcarnitine","C29H49NO5","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241607",56.744870767568,65.4766757571408,-0.138372458927611,0,0
"粘膜下（Submucosa）","(8S,9R,11S,13S,14S,17S)-13-Methyl-11-[4-[5-(4,4,5,5,5-pentafluoropentylsulfonyl)pentoxy]phenyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol","C34H43F5O5S",NA,NA,NA,"HMDB0260184",90.6471870748933,90.0588488589063,0.0716353061501027,0,0
"粘膜下（Submucosa）","(9Z,11E,14Z)-(13S)-hydroperoxyoctadeca-(9,11,14)-trienoate","C18H29O4","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","HMDB0303985",97.8607234034623,97.1327687670446,0.0721421631684045,0,0
"粘膜下（Submucosa）","(9Z)-12-oxo-dodec-9-enoate","C12H19O3","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","HMDB0303984",99.9030989694948,99.3454858619205,0.120396889646857,0,0
"粘膜下（Submucosa）","(E)-1-[(2R)-2-(2-Hydroxyethyl)piperidin-1-yl]-3-(2-phenylpyrazolo[1,5-a]pyridin-3-yl)prop-2-en-1-one","C23H25N3O2","Organoheterocyclic compounds","Azoles","Pyrazoles","HMDB0252279",85.202094553044,81.5656667145113,0.0677077428237268,0,0
"粘膜下（Submucosa）","(E)-3-(6-Acetamidopyridin-3-yl)-N-[2-[2,4-dichloro-N-methyl-3-[(2-methylquinolin-8-yl)oxymethyl]anilino]-2-oxoethyl]prop-2-enamide","C30H27Cl2N5O4","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0252277",61.397983713173,76.7486723123296,-0.28282608766003,0,0
"粘膜下（Submucosa）","(E)-N-[2-(3-Indolyl)ethyl]-3-(3,4-dihydroxyphenyl)acrylamide","C19H18N2O3","Organoheterocyclic compounds","Indoles and derivatives","Indoles","HMDB0243645",98.5148053593724,98.3528060858332,0.0747872846103517,0,0
"粘膜下（Submucosa）","(R)-(6-Methoxy-4-quinolyl)-(5-vinylquinuclidin-2-yl)methanol","C20H24N2O2","Alkaloids and derivatives","Cinchona alkaloids",NA,"HMDB0242153",97.3408121051749,95.8886177694847,0.128727954635453,0,0
"粘膜下（Submucosa）","(R)-Dihydromaleimide","C4H5NO2","Organoheterocyclic compounds","Pyrrolines",NA,"HMDB0030276",93.8132418985148,89.9687096311181,0.0404452623427359,0,0
"粘膜下（Submucosa）","(R)-N-(Quinuclidin-3-yl)furo(2,3-C)pyridine-5-carboxamide","C15H17N3O2","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","HMDB0256381",97.5197063153383,96.7756566671451,0.0953836970485438,0,0
"粘膜下（Submucosa）","(S)-(-)-2-Acetoxypropionyl chloride","C5H7ClO3","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","HMDB0243706",99.6645733559436,99.5854743792163,0.0339727919771211,0,0
"粘膜下（Submucosa）","(S)-2,3-Epoxysqualene","C30H50O","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","HMDB0001188",87.0637124275572,89.3136213578298,-0.0889285314535697,0,0
"粘膜下（Submucosa）","(S)-3-Sulfonatolactate","C3H6O6S","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","HMDB0060176",55.7423177981104,76.3967274293096,-0.164236656167397,0,0
"粘膜下（Submucosa）","(S)-Annocherine A","C17H15NO4","Organoheterocyclic compounds","Isoquinolines and derivatives","Benzylisoquinolines","HMDB0038723",91.1745522986043,89.6793454858619,0.0881265860466768,0,0
"粘膜下（Submucosa）","(Z)-4-Dodecenal","C13H24O","Lipids and lipid-like molecules","Fatty Acyls","Fatty aldehydes","HMDB0032247",87.8594189665132,85.1201377924501,0.030586672763686,0,0
"粘膜下（Submucosa）","[(2R,5S)-2,5-Dimethyl-5-(octadecylcarbamoyloxymethyl)oxolan-2-yl]methyl 2-quinolin-1-ium-1-ylethyl phosphate","C38H63N2O7P","Organoheterocyclic compounds","Quinolines and derivatives",NA,"HMDB0258466",57.1697445167061,68.0958805798765,-0.162633774932748,0,0
"粘膜下（Submucosa）","[(2R)-Oxiran-2-yl]methyl 2-methylprop-2-enoate","C7H10O3","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","HMDB0243756",100,100,0.0712007838751756,0,0
"粘膜下（Submucosa）","[5-[2,4-Bis((3S)-3-methylmorpholin-4-yl)pyrido[2,3-d]pyrimidin-7-yl]-2-methoxyphenyl]methanol","C25H31N5O4","Organoheterocyclic compounds","Pyridines and derivatives","Phenylpyridines","HMDB0248789",85.5375211971004,83.6101621931965,0.0756013878068361,0,0
"粘膜下（Submucosa）","[Bala8]-Neurokinin A(4-10)","C35H56N8O10S","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0244469",63.0136220487114,70.3562508970863,-0.0911074660336506,0,0
