"","total","expected","hits","Raw p","Holm p","FDR"
"Histidine metabolism",16,1.74,8,9.87e-05,0.008,0.008
"Arginine biosynthesis",14,1.52,6,0.00214,0.172,0.0632
"Purine metabolism",70,7.6,16,0.00234,0.185,0.0632
"Pyrimidine metabolism",39,4.24,10,0.00672,0.524,0.122
"Alanine, aspartate and glutamate metabolism",28,3.04,8,0.00756,0.582,0.122
"Vitamin B6 metabolism",9,0.978,4,0.0109,0.83,0.147
"Citrate cycle (TCA cycle)",20,2.17,6,0.0159,1,0.161
"Pantothenate and CoA biosynthesis",20,2.17,6,0.0159,1,0.161
"beta-Alanine metabolism",21,2.28,6,0.0203,1,0.183
"Pentose phosphate pathway",22,2.39,6,0.0254,1,0.206
"Arginine and proline metabolism",35,3.8,8,0.0295,1,0.217
"Taurine and hypotaurine metabolism",8,0.869,3,0.0467,1,0.315
"D-Amino acid metabolism",14,1.52,4,0.0563,1,0.328
"Selenocompound metabolism",20,2.17,5,0.0571,1,0.328
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.434,2,0.0607,1,0.328
"Nicotinate and nicotinamide metabolism",15,1.63,4,0.0705,1,0.355
"Glutathione metabolism",28,3.04,6,0.0745,1,0.355
"Biotin metabolism",10,1.09,3,0.0852,1,0.371
"Biosynthesis of unsaturated fatty acids",36,3.91,7,0.0869,1,0.371
"Ascorbate and aldarate metabolism",11,1.19,3,0.108,1,0.422
"Glycolysis / Gluconeogenesis",24,2.61,5,0.11,1,0.422
"Drug metabolism - other enzymes",39,4.24,7,0.122,1,0.422
"Glycine, serine and threonine metabolism",32,3.48,6,0.125,1,0.422
"Glyoxylate and dicarboxylate metabolism",32,3.48,6,0.125,1,0.422
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",6,0.652,2,0.131,1,0.425
"Cysteine and methionine metabolism",33,3.58,6,0.14,1,0.436
"Valine, leucine and isoleucine biosynthesis",8,0.869,2,0.213,1,0.615
"Phenylalanine metabolism",8,0.869,2,0.213,1,0.615
"Tryptophan metabolism",40,4.34,6,0.262,1,0.709
"Inositol phosphate metabolism",32,3.48,5,0.263,1,0.709
"Metabolism of xenobiotics by cytochrome P450",68,7.39,9,0.315,1,0.823
"Lysine degradation",29,3.15,4,0.388,1,0.983
"Pyruvate metabolism",22,2.39,3,0.434,1,1
"Tyrosine metabolism",42,4.56,5,0.487,1,1
"Butanoate metabolism",15,1.63,2,0.497,1,1
"Nitrogen metabolism",6,0.652,1,0.499,1,1
"Glycerolipid metabolism",16,1.74,2,0.533,1,1
"Folate biosynthesis",26,2.82,3,0.549,1,1
"Primary bile acid biosynthesis",46,5,5,0.572,1,1
"Terpenoid backbone biosynthesis",18,1.96,2,0.598,1,1
"Lipoic acid metabolism",28,3.04,3,0.601,1,1
"Pentose and glucuronate interconversions",19,2.06,2,0.629,1,1
"Ubiquinone and other terpenoid-quinone biosynthesis",20,2.17,2,0.657,1,1
"Ether lipid metabolism",20,2.17,2,0.657,1,1
"Fructose and mannose metabolism",21,2.28,2,0.684,1,1
"Caffeine metabolism",10,1.09,1,0.684,1,1
"Arachidonic acid metabolism",44,4.78,4,0.722,1,1
"Biosynthesis of various nucleotide sugars",24,2.61,2,0.754,1,1
"Glycerophospholipid metabolism",36,3.91,3,0.769,1,1
"One carbon pool by folate",26,2.82,2,0.793,1,1
"Retinol metabolism",17,1.85,1,0.86,1,1
"Drug metabolism - cytochrome P450",55,5.97,4,0.866,1,1
"Amino sugar and nucleotide sugar metabolism",31,3.37,2,0.867,1,1
"Porphyrin metabolism",31,3.37,2,0.867,1,1
"Starch and sucrose metabolism",18,1.96,1,0.875,1,1
"Propanoate metabolism",22,2.39,1,0.922,1,1
"Steroid hormone biosynthesis",86,9.34,6,0.922,1,1
"Valine, leucine and isoleucine degradation",40,4.34,2,0.943,1,1
"Steroid biosynthesis",41,4.45,2,0.948,1,1
"Galactose metabolism",26,2.82,1,0.951,1,1
"Fatty acid biosynthesis",47,5.11,2,0.971,1,1
"Sphingolipid metabolism",33,3.58,1,0.978,1,1
"Fatty acid elongation",38,4.13,1,0.988,1,1
"Fatty acid degradation",39,4.24,1,0.989,1,1
